City,Latitudes,Longitudes,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
Yuzhnyy,53.2542,83.6936,-2.0,80,75,7.0,RU,1612764405
Coquimbo,-29.9533,-71.3436,14.0,82,0,2.57,CL,1612764406
Itapicuru,-11.3167,-38.2333,23.14,87,84,2.65,BR,1612764406
Bredasdorp,-34.5322,20.0403,18.0,68,37,2.57,ZA,1612764408
Banda Aceh,5.5577,95.3222,30.63,62,8,4.38,ID,1612764222
Ushuaia,-54.8,-68.3,9.7,60,99,2.72,AR,1612764409
Arraial do Cabo,-22.9661,-42.0278,22.74,84,100,1.97,BR,1612764409
Barrow,71.2906,-156.7887,-34.0,68,1,4.12,US,1612764410
Norman Wells,65.282,-126.8329,-37.0,74,20,2.06,CA,1612764411
Eureka,40.8021,-124.1637,5.56,90,100,2.44,US,1612764411
Hobart,-42.8794,147.3294,18.89,48,40,8.75,AU,1612764412
Conceição do Araguaia,-8.2578,-49.2647,22.02,90,100,1.15,BR,1612764412
Chokurdakh,70.6333,147.9167,-25.35,89,85,2.86,RU,1612764413
Tilichiki,60.4667,166.1,-12.65,94,59,4.41,RU,1612764414
Hilo,19.7297,-155.09,23.0,68,90,2.38,US,1612764133
Paka,4.6374,103.4368,28.0,83,40,5.66,MY,1612764415
George Town,5.4112,100.3354,32.0,58,20,3.6,MY,1612764096
Dingle,10.9995,122.6711,23.66,93,100,5.44,PH,1612764416
Port Alfred,-33.5906,26.891,21.67,74,97,2.24,ZA,1612764417
Punta Arenas,-53.15,-70.9167,15.0,44,90,3.09,CL,1612764229
New Norfolk,-42.7826,147.0587,18.89,44,90,1.34,AU,1612764418
Portland,45.5234,-122.6762,6.11,70,90,2.06,US,1612764213
Codrington,-38.2667,141.9667,17.05,64,100,7.33,AU,1612764420
Atuona,-9.8,-139.0333,26.48,77,21,9.06,PF,1612764421
Torbay,47.6666,-52.7314,-1.11,80,90,8.23,CA,1612764146
Bengkulu,-3.8004,102.2655,30.32,62,36,5.48,ID,1612764177
Hambantota,6.1241,81.1185,31.0,70,20,7.72,LK,1612764422
Kapaa,22.0752,-159.319,19.0,77,1,2.57,US,1612764394
Rikitea,-23.1203,-134.9692,25.29,67,70,4.74,PF,1612764424
Traralgon,-38.1833,146.5333,20.56,61,96,2.24,AU,1612764424
Katangli,51.7102,143.2326,-13.29,92,100,10.02,RU,1612764425
Busselton,-33.65,115.3333,19.44,91,92,2.24,AU,1612764227
Sesheke,-17.4759,24.2968,21.72,88,100,3.23,ZM,1612764426
Mogadishu,2.0371,45.3438,27.0,65,75,8.75,SO,1612764426
Skeldon,5.8833,-57.1333,23.7,93,100,2.95,GY,1612764427
Saskylakh,71.9167,114.0833,-37.03,81,38,4.32,RU,1612764428
Esperance,-33.8667,121.9,33.0,35,40,8.23,AU,1612764167
Pemangkat,1.1667,108.9667,28.07,76,68,5.92,ID,1612764430
Kieta,-6.2167,155.6333,28.46,79,76,4.24,PG,1612764194
Kaitangata,-46.2817,169.8464,18.89,75,99,0.89,NZ,1612764187
Tver',56.8619,35.8931,-15.85,94,98,1.87,RU,1612764389
Provideniya,64.3833,-173.3,-18.65,84,100,9.24,RU,1612764432
Upernavik,72.7868,-56.1549,-8.35,79,36,2.03,GL,1612764433
Iwanai,42.9744,140.5089,-6.97,91,100,7.21,JP,1612764434
Wewak,-3.5534,143.6268,29.42,70,99,5.08,PG,1612764435
São Filipe,14.8961,-24.4956,20.25,75,99,5.74,CV,1612764435
Yellowknife,62.456,-114.3525,-37.78,61,40,4.63,CA,1612764412
Longyearbyen,78.2186,15.6401,-10.0,48,40,9.26,SJ,1612764437
Vila Velha,-20.3297,-40.2925,21.11,100,90,1.54,BR,1612764438
Pervomayskiy,53.2485,40.2871,-20.28,92,81,2.93,RU,1612764438
Kavieng,-2.5744,150.7967,28.58,76,15,4.06,PG,1612764440
Sadalgi,16.5667,74.55,27.67,22,38,6.53,IN,1612764441
Vila Franca do Campo,37.7167,-25.4333,14.0,88,75,9.26,PT,1612764441
Hermanus,-34.4187,19.2345,17.78,84,25,1.97,ZA,1612764437
Port Elizabeth,-33.918,25.5701,19.0,77,0,7.72,ZA,1612764443
Santander,43.4647,-3.8044,11.11,71,75,2.57,ES,1612764293
Padang,-0.9492,100.3543,32.0,58,20,2.57,ID,1612764444
Springbok,-29.6643,17.8865,19.21,26,0,2.76,ZA,1612764212
Hithadhoo,-0.6,73.0833,27.82,77,37,5.38,MV,1612764445
Qaanaaq,77.484,-69.3632,-7.79,85,100,2.56,GL,1612764437
Gunjur,13.2019,-16.7339,19.0,48,20,6.17,GM,1612764447
Fengrun,39.8333,118.1167,5.0,25,0,2.68,CN,1612764447
Hualmay,-11.0964,-77.6139,21.61,80,100,3.13,PE,1612764184
Sorata,-15.7667,-68.6333,6.44,82,91,1.3,BO,1612764448
Ossora,59.2353,163.0719,-3.18,94,63,7.04,RU,1612764449
Haverfordwest,51.8017,-4.9691,1.67,74,29,5.81,GB,1612764450
Pedernales,18.0384,-71.744,24.53,70,25,3.12,DO,1612764450
Cabo San Lucas,22.8909,-109.9124,20.0,60,40,5.14,MX,1612764350
Muli,2.9167,73.5667,28.07,75,7,8.17,MV,1612764452
Hamilton,39.1834,-84.5333,-8.89,57,75,3.09,US,1612763916
Thompson,55.7435,-97.8558,-32.0,62,90,6.69,CA,1612764453
Marfino,55.7028,37.3822,-19.0,84,75,1.0,RU,1612764454
Avarua,-21.2078,-159.775,28.0,78,50,3.6,CK,1612764454
Río Gallegos,-51.6226,-69.2181,10.0,71,0,2.06,AR,1612764455
Adrar,20.5022,-10.0711,11.5,42,0,4.48,MR,1612764456
Saint Paul Harbor,57.79,-152.4072,-3.0,74,1,2.57,US,1612764443
Olafsvik,64.8945,-23.7142,2.08,79,51,6.75,IS,1612764457
Beringovskiy,63.05,179.3167,-15.12,94,100,7.1,RU,1612764459
Gubkinskiy,64.434,76.5026,-21.19,88,34,4.53,RU,1612764459
Tiksi,71.6872,128.8694,-33.45,86,64,2.64,RU,1612764460
Palmer,42.1584,-72.3287,-6.11,58,1,6.17,US,1612764461
Shiloh,38.5614,-89.8973,-8.0,67,90,2.57,US,1612764461
Korla,41.7597,86.1469,6.52,48,84,0.74,CN,1612764219
Avera,33.194,-82.5271,1.0,87,1,2.64,US,1612764462
Qui Nhon,13.7667,109.2333,25.12,75,90,5.12,VN,1612764463
Klaksvík,62.2266,-6.589,2.0,60,75,9.26,FO,1612764369
Sisimiut,66.9395,-53.6735,-6.37,81,1,5.32,GL,1612764464
Hong Kong,22.2855,114.1577,25.56,74,16,0.45,HK,1612764181
Port Lincoln,-34.7333,135.8667,20.21,60,15,7.15,AU,1612764466
Esim,4.8699,-2.2405,26.32,86,88,3.4,GH,1612764467
Mahanoro,-19.9,48.8,29.45,65,50,4.61,MG,1612764467
Half Moon Bay,37.4636,-122.4286,11.11,71,1,1.77,US,1612764468
Lompoc,34.6391,-120.4579,11.67,93,90,2.05,US,1612764457
Cristalina,-16.7686,-47.6136,16.89,100,99,1.76,BR,1612764469
Tasiilaq,65.6145,-37.6368,-1.0,47,20,7.72,GL,1612764470
Buala,-8.145,159.5921,29.03,78,82,4.02,SB,1612764470
Lagoa,39.05,-27.9833,14.62,82,24,12.28,PT,1612764471
Arrondissement de Montbrison,45.6667,4.0833,1.11,86,0,2.06,FR,1612764471
Xinzhou,38.4092,112.7333,3.98,50,100,0.29,CN,1612764472
Pontianak,-0.0333,109.3333,30.0,74,75,3.6,ID,1612764473
Ambon City,-3.6954,128.1814,32.0,66,20,5.66,ID,1612764474
Tegul'det,57.3064,88.1667,-6.75,94,88,5.05,RU,1612764475
Vardø,70.3705,31.1107,-8.0,73,40,9.26,NO,1612764476
Shache,38.4167,77.2406,6.43,50,30,1.94,CN,1612764476
Srednekolymsk,67.45,153.6833,-19.01,82,81,3.77,RU,1612764477
Cape Town,-33.9258,18.4232,21.11,72,40,5.66,ZA,1612764477
Cherskiy,68.75,161.3,-16.0,72,0,0.61,RU,1612764478
Mahébourg,-20.4081,57.7,30.0,62,40,5.14,MU,1612764479
Chifeng,42.2683,118.9636,-5.41,88,0,3.59,CN,1612764185
Iqaluit,63.7506,-68.5145,1.0,69,75,7.72,CA,1612764480
Yangi Marg`ilon,40.4272,71.7189,9.0,61,73,1.03,UZ,1612764439
Ribeira Grande,38.5167,-28.7,15.33,80,55,9.99,PT,1612764482
Acaraú,-2.8856,-40.12,25.38,87,18,2.27,BR,1612764483
Guerrero Negro,27.9769,-114.0611,15.1,82,0,4.0,MX,1612764484
Leningradskiy,69.3833,178.4167,-27.69,86,12,4.04,RU,1612764485
São Francisco,-15.9486,-44.8644,20.04,96,100,1.46,BR,1612764486
Bethel,41.3712,-73.414,-6.0,53,1,2.57,US,1612764446
Gold Coast,-28.0,153.4333,28.33,61,75,9.26,AU,1612764472
Manono,-7.3,27.4167,21.65,95,100,0.67,CD,1612764487
Broken Hill,-31.95,141.4333,28.0,20,0,6.69,AU,1612764488
Baghmara,23.795,86.2085,24.63,22,0,2.68,IN,1612764489
East London,-33.0153,27.9116,19.0,94,40,5.66,ZA,1612764328
Whitianga,-36.8333,175.7,19.73,62,42,3.14,NZ,1612764490
Lensk,60.7253,114.9278,-6.04,96,100,2.62,RU,1612764490
Geraldton,-28.7667,114.6,24.0,64,75,6.69,AU,1612764491
Castro,-24.7911,-50.0119,11.01,91,0,2.41,BR,1612764492
Dzhebariki-Khaya,62.2167,135.8,-28.99,83,100,0.72,RU,1612764492
Kuytun,54.3419,101.5036,-3.63,97,49,2.22,RU,1612764493
Lanxi,29.2195,119.477,8.19,84,100,2.79,CN,1612764493
Svarstad,59.399,9.9698,-7.78,67,75,4.12,NO,1612764494
Puerto Ayora,-0.7393,-90.3518,25.0,95,100,2.25,EC,1612764436
Smithers,54.7804,-127.1743,-17.0,78,1,0.19,CA,1612764230
Erzin,36.9559,36.2,11.0,100,40,0.51,TR,1612764496
Flin Flon,54.7682,-101.865,-33.83,81,68,5.12,CA,1612764496
Bilibino,68.0546,166.4372,-20.02,76,0,3.3,RU,1612764497
Rotifunk,8.2333,-12.6833,22.52,93,41,1.04,SL,1612764498
Biltine,14.5333,20.9167,18.99,24,64,7.38,TD,1612764498
Mossamedes,-15.1961,12.1522,22.69,78,88,1.99,AO,1612764387
Fortuna,40.5982,-124.1573,7.78,93,90,2.18,US,1612764499
Nishihara,26.1842,127.7558,22.0,37,40,8.23,JP,1612764500
Yanam,16.7333,82.2167,29.0,48,20,3.09,IN,1612764501
Leshukonskoye,64.8989,45.7622,-31.35,86,42,2.94,RU,1612764502
Constitución,-35.3333,-72.4167,13.44,89,7,1.55,CL,1612764439
Muzhi,65.3667,64.6667,-26.35,88,100,7.91,RU,1612764503
Fort Dodge,42.4975,-94.168,-19.0,77,90,1.62,US,1612764504
Rocha,-34.4833,-54.3333,16.18,92,42,0.89,UY,1612764504
Aborlan,9.4352,118.5492,30.0,70,90,9.26,PH,1612764506
‘Āhuimanu,21.4447,-157.8378,23.89,64,40,1.54,US,1612764496
Kaeo,-35.1,173.7833,21.11,74,84,2.24,NZ,1612764493
Paita,-5.0892,-81.1144,24.02,75,89,5.66,PE,1612764507
Port Blair,11.6667,92.75,27.91,70,14,5.91,IN,1612764508
Caravelas,-17.7125,-39.2481,24.5,92,100,4.02,BR,1612764509
Northam,51.0333,-4.2167,1.67,73,82,7.6,GB,1612764509
Nouadhibou,20.931,-17.0347,15.0,77,0,7.72,MR,1612764510
Vao,-22.6667,167.4833,26.07,74,16,1.79,NC,1612764369
Havre-St-Pierre,50.2334,-63.5986,-10.0,85,90,3.6,CA,1612764511
Ayan,56.45,138.1667,-19.1,81,100,9.35,RU,1612764512
Lüderitz,-26.6481,15.1594,20.24,48,0,9.91,NA,1612764512
Coruripe,-10.1256,-36.1756,24.94,83,96,4.96,BR,1612764513
Lebu,-37.6167,-73.65,14.14,93,82,1.76,CL,1612764439
Lewistown,40.5992,-77.5714,-8.0,57,1,1.54,US,1612764514
Richards Bay,-28.783,32.0377,25.23,85,89,3.91,ZA,1612764515
Kargasok,59.0556,80.8572,-13.14,93,100,4.63,RU,1612764515
Pindiga,9.9833,10.9333,16.91,30,83,1.72,NG,1612764516
Faya,18.3851,42.4509,13.0,47,20,4.12,SA,1612764516
Hobyo,5.3505,48.5268,26.99,70,9,9.02,SO,1612764369
Cidreira,-30.1811,-50.2056,20.89,72,0,2.84,BR,1612764457
Egvekinot,66.3167,-179.1667,-25.23,87,48,7.68,RU,1612764518
Skibotn,69.3913,20.2679,-2.0,74,75,4.63,NO,1612764519
Marawi,7.9986,124.2928,26.67,87,100,1.79,PH,1612764520
Sitka,57.0531,-135.33,-1.0,69,90,6.17,US,1612764520
Narsaq,60.9167,-46.05,4.0,26,96,18.01,GL,1612764521
Taihecun,45.8,130.85,-14.77,88,1,8.01,CN,1612764522
Mildura,-34.2,142.15,28.89,18,0,3.6,AU,1612764522
Tezu,27.9167,96.1667,26.13,18,0,1.95,IN,1612764523
Dunda,-8.1167,34.25,20.75,90,100,0.51,TZ,1612764524
Kumul,42.8,93.45,6.47,47,70,1.64,CN,1612764525
Juneau,58.3019,-134.4197,-7.0,79,90,2.06,US,1612764448
Mafinga,-7.25,35.0667,20.24,94,99,1.28,TZ,1612764526
Deep River,46.1001,-77.4995,-13.89,78,1,1.03,CA,1612764526
Neuquén,-38.9516,-68.0591,18.0,52,0,5.14,AR,1612764527
Marsh Harbour,26.5412,-77.0636,23.75,89,56,4.38,BS,1612764528
Daru,-9.0763,143.2092,29.12,75,74,3.44,PG,1612764528
Lukhovitsy,54.9728,39.0361,-21.58,91,20,2.55,RU,1612764529
Sakakah,29.9697,40.2064,8.0,87,0,1.54,SA,1612764486
Cartagena del Chairá,1.3349,-74.8429,22.87,96,100,0.93,CO,1612764530
Tura,25.5198,90.2201,26.63,23,0,2.32,IN,1612764531
Nikolskoye,59.7035,30.7861,-13.89,85,0,3.0,RU,1612764532
Cayenne,4.9333,-52.3333,26.0,89,75,3.09,GF,1612764532
Kulhudhuffushi,6.6221,73.07,27.55,70,26,3.99,MV,1612764533
Saint George,37.1041,-113.5841,8.0,31,1,1.54,US,1612764292
Tupik,54.4253,119.9327,-16.89,84,100,0.86,RU,1612764534
Mount Gambier,-37.8333,140.7667,19.0,59,75,6.69,AU,1612764535
Oriximiná,-1.7656,-55.8661,25.26,79,78,2.07,BR,1612764535
Hervey Bay,-25.2986,152.8535,28.0,65,90,8.75,AU,1612764498
Praia,14.9215,-23.5087,19.0,72,75,9.26,CV,1612764537
Anadyr,64.75,177.4833,-14.0,61,20,4.0,RU,1612764537
Scarborough,54.2797,-0.4044,1.11,74,100,4.92,GB,1612764174
Leh,34.1667,77.5833,-4.56,67,87,0.83,IN,1612764539
Ust-Tsilma,65.441,52.1498,-26.23,86,100,4.99,RU,1612764539
Cesvaine,56.9667,26.3167,-16.39,95,81,0.51,LV,1612764540
Meulaboh,4.1363,96.1285,30.17,63,88,2.68,ID,1612764438
Katsuura,35.1333,140.3,9.0,40,75,2.57,JP,1612764541
Ketchikan,55.3422,-131.6461,-2.0,79,75,1.96,US,1612764542
Shingū,33.7333,135.9833,12.0,40,20,8.23,JP,1612764467
Baharly,38.4362,57.4316,10.75,62,100,3.63,TM,1612764423
Kuching,1.55,110.3333,28.0,78,40,2.57,MY,1612764298
Kazanlak,42.6167,25.4,11.11,100,90,2.06,BG,1612764480
Ahipara,-35.1667,173.1667,21.07,67,65,4.14,NZ,1612764545
Santiago,-33.4569,-70.6483,17.22,82,0,3.09,CL,1612764336
Namatanai,-3.6667,152.4333,29.06,73,44,3.19,PG,1612764546
Talnakh,69.4865,88.3972,-23.56,79,69,2.22,RU,1612764547
Haradok,55.4624,29.9816,-17.0,92,90,1.0,BY,1612764547
Isangel,-19.55,169.2667,26.83,73,27,2.95,VU,1612764548
Chui,-33.6971,-53.4616,17.13,87,11,0.9,UY,1612764548
Hasaki,35.7333,140.8333,11.0,37,40,2.06,JP,1612764549
Necochea,-38.5473,-58.7368,15.0,75,41,1.79,AR,1612764550
Husavik,66.0449,-17.3389,-2.0,80,90,1.54,IS,1612764550
Nuuk,64.1835,-51.7216,-1.0,40,0,8.23,GL,1612764551
Fayaoué,-20.65,166.5333,27.38,66,58,2.27,NC,1612764369
Lavrentiya,65.5833,-171.0,-23.73,84,25,5.34,RU,1612764501
Souillac,-20.5167,57.5167,30.0,62,40,5.14,MU,1612764553
Kathu,7.9178,98.3332,31.11,58,20,3.6,TH,1612764553
Magway,20.15,94.9167,28.72,28,0,4.05,MM,1612764554
Karpathos,35.507,27.2132,17.0,82,40,9.26,GR,1612764555
Fairbanks,64.8378,-147.7164,-25.0,75,1,1.94,US,1612764308
Clyde River,70.4692,-68.5914,-20.0,84,20,7.72,CA,1612764556
Aklavik,68.2191,-135.0107,-34.0,68,100,3.09,CA,1612764462
Katherine,-14.4667,132.2667,28.0,69,75,11.32,AU,1612764557
Skovorodino,53.9833,123.9167,-18.44,85,34,1.94,RU,1612764558
Nome,64.5011,-165.4064,-20.0,77,1,2.29,US,1612764558
Paamiut,61.994,-49.6678,-3.14,82,65,5.35,GL,1612764559
Balyqshy,47.0667,51.8667,-13.0,72,0,5.0,KZ,1612764559
Shihezi,44.3,86.0333,-5.5,96,93,2.82,CN,1612764561
Namikupa,-10.8333,39.6,26.62,83,96,1.81,TZ,1612764561
Nanortalik,60.1432,-45.2371,-0.16,87,97,8.04,GL,1612764472
Severo-Kuril'sk,50.6789,156.125,-4.73,92,38,5.12,RU,1612764562
Nagato,34.3833,131.2,10.0,34,20,8.75,JP,1612764563
Tuatapere,-46.1333,167.6833,17.65,74,100,2.33,NZ,1612764452
Dikson,73.5069,80.5464,-34.25,85,91,7.96,RU,1612764523
San Quintín,30.4833,-115.95,14.34,76,0,2.16,MX,1612764565
Brae,60.3964,-1.353,-0.32,91,95,3.8,GB,1612764565
Carnarvon,-24.8667,113.6333,29.0,100,12,7.72,AU,1612764452
Agboville,5.928,-4.2132,24.48,95,55,1.86,CI,1612764566
Batagay-Alyta,67.8006,130.4114,-30.01,76,27,0.65,RU,1612764567
Alofi,-19.0595,-169.9187,27.0,89,75,2.06,NU,1612764568
Kaduqli,11.0167,29.7167,19.54,26,14,5.64,SD,1612764568
Port Macquarie,-31.4333,152.9167,25.56,66,48,0.45,AU,1612764569
Belaya Gora,68.5333,146.4167,-31.19,86,97,1.68,RU,1612764570
Khatanga,71.9667,102.5,-30.32,81,68,6.28,RU,1612764570
Apozol,21.4833,-103.1,18.67,28,90,1.78,MX,1612764571
Remontnoye,46.5614,43.6501,-8.0,86,75,1.0,RU,1612764571
Ust'-Ilimsk,58.0006,102.6619,-0.78,94,99,4.73,RU,1612764431
Mogoytuy,51.2833,114.9167,-13.76,91,69,1.27,RU,1612764572
Machico,32.7,-16.7667,14.0,88,20,3.09,PT,1612764573
Skjervøy,70.0311,20.9714,-2.0,74,75,4.63,NO,1612764574
Mundo Nuevo (Ojo de Agua),18.7,-95.5,21.77,80,3,1.73,MX,1612764574
Faanui,-16.4833,-151.75,27.78,75,43,6.65,PF,1612764559
Banepā,27.6298,85.5214,17.0,39,20,1.03,NP,1612764575
Kidal,18.4411,1.4078,17.16,28,100,5.56,ML,1612764576
Ulladulla,-35.35,150.4667,22.0,64,75,2.57,AU,1612764577
Dul'durga,50.6761,113.5931,-7.29,89,19,0.72,RU,1612764577
Soe,-9.8607,124.284,23.66,92,89,4.73,ID,1612764430
Kloulklubed,7.0419,134.2556,25.0,94,90,3.6,PW,1612764579
Zemio,5.0314,25.1361,20.01,24,59,2.92,CF,1612764579
Tigil',57.8,158.6667,-4.85,90,41,7.24,RU,1612764580
Chara,56.9064,118.2631,-15.74,87,100,0.73,RU,1612764581
Châteauroux,46.8167,1.7,1.0,86,90,2.57,FR,1612764581
Novo Aripuanã,-5.1206,-60.3797,23.59,96,100,0.24,BR,1612764582
Wajima,37.4,136.9,-2.0,100,90,5.14,JP,1612764583
Saint-Joseph,-21.3667,55.6167,31.0,48,75,2.57,RE,1612764583
Cocachacra,-17.0883,-71.7575,21.87,79,90,0.94,PE,1612764584
Paso de los Toros,-32.8167,-56.5167,20.59,64,0,3.74,UY,1612764585
Lorengau,-2.0226,147.2712,29.37,69,65,3.26,PG,1612764445
Guánica,17.9716,-66.908,23.33,82,29,3.35,PR,1612764586
Casas Grandes,30.3667,-107.95,7.78,33,17,0.45,MX,1612764586
Shizukuishi,39.6833,140.9833,-3.0,74,75,5.14,JP,1612764587
Jalu,29.0331,21.5482,19.04,25,100,8.93,LY,1612764587
Villanueva de la Serena,38.9766,-5.7974,8.89,92,68,4.02,ES,1612764588
Palmeiras de Goiás,-16.805,-49.9258,20.03,97,90,2.58,BR,1612764589
Kontagora,10.3999,5.4695,21.11,21,0,3.3,NG,1612764589
Yaan,7.3833,8.5667,21.73,92,99,2.3,NG,1612764590
Teya,60.3778,92.6267,-8.99,92,100,5.36,RU,1612764590
College,64.8569,-147.8028,-25.0,70,1,3.09,US,1612764591
General Roca,-39.0333,-67.5833,18.0,52,0,5.14,AR,1612764592
Buchanan,5.8808,-10.0467,24.0,94,20,2.68,LR,1612764592
Mkwanga,-7.118,39.2078,24.0,94,75,3.83,TZ,1612764593
Iquique,-20.2208,-70.1431,20.0,64,0,0.17,CL,1612764469
Skibbereen,51.55,-9.2667,2.0,69,90,8.23,IE,1612764594
Pangody,65.85,74.4859,-19.32,90,100,5.22,RU,1612764595
Phalaborwa,-23.943,31.1411,22.0,94,81,2.06,ZA,1612764595
Mar del Plata,-38.0023,-57.5575,16.11,72,90,5.14,AR,1612764338
Kamaishi,39.2667,141.8833,-3.0,74,75,5.14,JP,1612764597
Granadilla de Abona,28.1188,-16.576,16.67,77,75,2.06,ES,1612764598
Nemuro,43.3236,145.575,-6.0,53,20,5.66,JP,1612764598
Ilek,51.5271,53.3831,-21.29,89,89,6.86,RU,1612764599
Agua Dulce,18.1333,-94.1333,20.92,86,1,0.71,MX,1612764599
Preobrazheniye,42.9019,133.9064,-8.5,76,0,6.39,RU,1612764600
Corsicana,32.0954,-96.4689,11.0,71,1,6.17,US,1612764601
Gornopravdinsk,60.05,69.9,-19.64,89,100,4.63,RU,1612764602
South Venice,27.0531,-82.4243,17.22,82,90,3.6,US,1612764603
Morondava,-20.2833,44.2833,27.93,77,95,3.95,MG,1612764603
Ilhéus,-14.7889,-39.0494,24.7,91,100,2.72,BR,1612764604
Guadalupe Victoria,32.2869,-115.105,14.44,38,1,3.29,MX,1612764605
Peace River,56.2501,-117.286,-34.0,68,20,5.14,CA,1612764184
Saint-Augustin,51.226,-58.6502,-11.38,93,44,2.59,CA,1612764606
Bonavista,48.6499,-53.1147,-2.22,74,67,1.54,CA,1612764608
Bahía Blanca,-38.7196,-62.2724,13.82,72,25,4.64,AR,1612764608
Zaraza,9.3503,-65.3245,22.58,85,70,1.77,VE,1612764609
Vestmannaeyjar,63.4427,-20.2734,3.9,74,94,9.65,IS,1612764609
Luwuk,-0.9516,122.7875,29.73,71,94,0.25,ID,1612764610
Cervo,43.6702,-7.4101,7.22,100,44,3.13,ES,1612764611
Takoradze,4.8845,-1.7554,26.23,87,80,3.4,GH,1612764612
Laguna,38.421,-121.4238,9.44,76,1,1.17,US,1612764612
Puqi,29.7167,113.8833,10.46,83,100,2.15,CN,1612764613
Sabang,5.8933,95.3214,27.89,77,9,7.78,ID,1612764614
Saint Anthony,45.0205,-93.218,-19.0,71,90,3.09,US,1612764615
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-4.0,74,75,2.0,RU,1612764615
Villa Bruzual,9.3328,-69.1208,25.0,67,77,3.02,VE,1612764503
Mwinilunga,-11.7358,24.4293,18.18,95,99,2.25,ZM,1612764617
Ruidoso,33.3317,-105.673,6.11,19,1,1.54,US,1612764617
Coro,11.4045,-69.6734,23.75,82,50,6.95,VE,1612764618
Itacoatiara,-3.1431,-58.4442,23.56,93,97,0.29,BR,1612764618
Tsimmerbude,54.675,20.1347,-14.0,72,0,6.0,RU,1612764619
Fukuechō,32.6881,128.8419,9.0,49,40,7.72,JP,1612764620
Emerald,-23.5333,148.1667,37.22,44,40,2.57,AU,1612764620
Inuvik,68.3499,-133.7218,-34.0,68,100,3.09,CA,1612764621
Darhan,49.4867,105.9228,-9.88,89,11,0.49,MN,1612764621
Puerto Lleras,3.0223,-73.4044,23.59,91,91,0.84,CO,1612764622
Tamandaré,-8.7597,-35.1047,25.28,82,98,2.69,BR,1612764569
Broome,42.2506,-75.833,-12.78,66,1,4.12,US,1612764624
Sinnamary,5.3833,-52.95,25.26,84,98,5.69,GF,1612764625
Chabahar,25.2919,60.643,20.63,47,18,1.46,IR,1612764501
Ilulissat,69.2167,-51.1,-7.0,42,0,15.43,GL,1612764596
Xishan,27.6667,113.5,10.0,100,75,4.0,CN,1612764627
Noceto,44.8114,10.1713,4.0,100,28,2.57,IT,1612764627
Fügen,47.35,11.85,2.22,94,100,0.69,AT,1612764628
Ixtapa,20.7,-105.2,19.44,94,1,0.96,MX,1612764629
Zhezkazgan,47.8043,67.7144,-8.0,73,75,10.0,KZ,1612764629
Homer,59.6425,-151.5483,-8.0,92,1,2.57,US,1612764630
Arazede,40.2863,-8.65,12.22,93,62,6.26,PT,1612764630
Alice Springs,-23.7,133.8833,37.0,16,73,8.23,AU,1612764442
San Cristobal,7.7669,-72.225,19.69,83,100,0.69,VE,1612764631
Yeppoon,-23.1333,150.7333,34.0,55,75,8.75,AU,1612764632
Moyale,3.5167,39.0584,24.99,39,95,7.11,KE,1612764633
Bubaque,11.2833,-15.8333,25.19,51,11,6.91,GW,1612764486
Praia da Vitória,38.7333,-27.0667,13.33,87,20,7.55,PT,1612764634
