City,Latitudes,Longitudes,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
Kidal,18.4411,1.4078,21.43,19,100,4.66,ML,1612669909
Lavrentiya,65.5833,-171.0,-25.05,78,0,0.64,RU,1612669553
Poronaysk,49.2167,143.1167,-15.21,89,10,1.08,RU,1612669683
Okhotsk,59.3833,143.3,-13.79,86,100,10.93,RU,1612669911
Herat Province,34.5,62.0,1.0,44,0,2.06,AF,1612669911
Atar,20.5169,-13.0499,12.73,44,23,4.97,MR,1612669628
Acapulco de Juárez,16.8634,-99.8901,26.0,78,1,2.57,MX,1612669692
Tevaitoa,-16.7833,-151.5,28.1,66,0,4.32,PF,1612669913
Lyubytino,58.8122,33.3922,-14.66,94,100,3.92,RU,1612669914
Sola,-13.8833,167.55,31.0,71,75,1.47,VU,1612669794
Hasaki,35.7333,140.8333,17.78,29,20,2.57,JP,1612669703
Magistral'nyy,56.1725,107.4458,-11.66,94,100,3.78,RU,1612669916
Pimentel,-6.8367,-79.9342,20.56,87,100,2.68,PE,1612669917
Sipoo,60.3775,25.2691,-12.78,92,75,3.6,FI,1612669917
Klaipėda,55.7172,21.1175,-17.0,78,40,1.03,LT,1612669918
Mrągowo,53.8644,21.3051,-23.0,77,0,1.88,PL,1612669918
Huaraz,-9.5333,-77.5333,11.29,66,100,3.01,PE,1612669919
Micheweni,-4.9667,39.8333,27.29,74,74,4.28,TZ,1612669628
Warmbad,-28.45,18.7333,18.61,54,0,2.43,NA,1612669920
Zabid,14.1951,43.3152,21.48,74,9,1.86,YE,1612669921
Borgarnes,64.5383,-21.9206,2.0,44,0,7.2,IS,1612669921
Aracruz,-19.8203,-40.2733,23.0,88,90,3.09,BR,1612669635
Camacha,33.0833,-16.3333,14.0,72,20,4.63,PT,1612669923
São João da Barra,-21.6403,-41.0511,20.5,95,100,6.19,BR,1612669923
Kemisē,10.7167,39.8667,15.24,83,89,1.65,ET,1612669924
Cabo San Lucas,22.8909,-109.9124,19.0,68,20,1.54,MX,1612669925
Udachny,66.4167,112.4,-34.26,81,6,3.4,RU,1612669926
Chernyshevskiy,63.0128,112.4714,-27.35,90,100,1.53,RU,1612669927
Saint Anthony,45.0205,-93.218,-22.0,59,1,5.14,US,1612669928
Abu Kamal,34.4506,40.9171,10.42,69,0,4.32,SY,1612669929
Borovichi,58.3878,33.9155,-15.3,94,99,3.73,RU,1612669930
Puri,19.8,85.85,22.0,49,0,3.09,IN,1612669930
Buraidah,26.326,43.975,9.0,100,75,2.06,SA,1612669734
Lorengau,-2.0226,147.2712,28.74,80,95,3.44,PG,1612669932
Asău,46.4333,26.4,-2.78,73,100,1.5,RO,1612669932
El Tigre,8.8875,-64.2454,23.47,77,98,6.66,VE,1612669933
Bredasdorp,-34.5322,20.0403,18.0,94,99,1.03,ZA,1612669933
Codrington,-38.2667,141.9667,17.04,59,86,6.84,AU,1612669645
Ouésso,1.6136,16.0517,22.91,81,29,1.37,CG,1612669935
Alta,69.9689,23.2717,-2.78,74,75,6.69,NO,1612669935
Laas,46.6166,10.7002,3.89,100,90,3.09,IT,1612669936
Gizo Government Station,-8.103,156.8419,28.93,72,99,1.2,SB,1612669936
Gayéri,12.6497,0.4931,23.33,20,81,3.42,BF,1612669937
Dunedin,-45.8742,170.5036,16.11,79,0,12.52,NZ,1612669938
Touros,-5.1989,-35.4608,24.0,88,20,1.54,BR,1612669938
Tombouctou,20.0,-3.0,17.82,28,97,7.27,ML,1612669939
Honiara,-9.4333,159.95,25.83,86,100,3.55,SB,1612669940
Betioky,-23.7167,44.3833,25.32,79,0,1.05,MG,1612669941
Katsuura,35.1333,140.3,16.11,47,0,3.6,JP,1612669941
Oktyabr'skoye,43.0645,44.7417,-1.0,100,87,4.0,RU,1612669942
Lovozero,68.005,35.0117,-8.31,96,100,5.71,RU,1612669942
Staraya Toropa,56.2801,31.6702,-17.6,93,100,3.2,RU,1612669943
Imbituba,-28.24,-48.6703,22.0,73,0,2.06,BR,1612669944
Hamilton,39.1834,-84.5333,-1.67,74,90,2.86,US,1612669859
Fenelon Falls,44.5334,-78.7496,-8.0,73,25,8.23,CA,1612669945
Ferkessédougou,9.6,-5.2,25.66,43,100,2.1,CI,1612669946
Thunder Bay,48.4001,-89.3168,-22.22,59,90,6.69,CA,1612669947
College,64.8569,-147.8028,-21.0,77,90,0.84,US,1612669948
Jati,24.3539,68.2671,21.64,22,0,3.16,PK,1612669949
Verkhnevilyuysk,63.4453,120.3167,-29.08,87,31,1.97,RU,1612669792
Santiago,-33.4569,-70.6483,17.22,82,75,3.6,CL,1612669349
Leningradskiy,69.3833,178.4167,-24.07,73,26,2.18,RU,1612669951
Laguna,38.421,-121.4238,11.11,71,1,1.55,US,1612669951
Kulhudhuffushi,6.6221,73.07,27.48,70,29,5.0,MV,1612669952
Mossamedes,-15.1961,12.1522,21.6,80,61,0.97,AO,1612669801
Haverfordwest,51.8017,-4.9691,4.44,89,80,3.13,GB,1612669953
Vestmannaeyjar,63.4427,-20.2734,2.55,80,41,9.94,IS,1612669954
Altay,47.8667,88.1167,-3.37,89,11,1.17,CN,1612669955
Rome,43.2128,-75.4557,-9.44,73,1,0.63,US,1612669949
Maragogi,-9.0122,-35.2225,24.76,87,69,3.2,BR,1612669802
Maumere,-8.6199,122.2111,28.99,69,41,1.74,ID,1612669958
Arraial do Cabo,-22.9661,-42.0278,23.82,83,99,1.44,BR,1612669958
Yanam,16.7333,82.2167,24.0,73,43,2.57,IN,1612669959
Acajutla,13.5928,-89.8275,24.55,74,0,2.19,SV,1612669960
Taoudenni,22.6783,-3.9836,14.47,39,73,4.53,ML,1612669960
Lingyuan,41.24,119.4011,-5.42,75,0,5.43,CN,1612669961
Jieshi,22.8134,115.8257,22.22,62,0,6.85,CN,1612669962
Jiangyou,31.7667,104.7167,17.39,34,0,0.92,CN,1612669874
Namatanai,-3.6667,152.4333,29.8,67,79,3.48,PG,1612669653
Hilo,19.7297,-155.09,24.0,60,90,2.57,US,1612669964
Pindorama,-21.1858,-48.9072,23.0,49,0,1.54,BR,1612669965
Yar-Sale,66.8333,70.8333,-30.45,87,100,8.0,RU,1612669534
São José da Coroa Grande,-8.8978,-35.1478,25.0,86,57,3.37,BR,1612669966
Upernavik,72.7868,-56.1549,-6.92,76,20,2.91,GL,1612669774
Pacific Grove,36.6177,-121.9166,11.11,87,1,1.99,US,1612669967
Bologoye,57.8799,34.1068,-16.51,93,95,3.8,RU,1612669968
Babushkin,51.7122,105.8647,-7.2,89,78,0.86,RU,1612669969
Tungor,53.3808,142.9564,-13.61,94,100,5.23,RU,1612669727
Puerto Suárez,-18.95,-57.8,21.52,67,14,0.74,BO,1612669970
Stornoway,58.2093,-6.3865,3.0,65,20,8.23,GB,1612669970
Swarzędz,52.4129,17.085,-6.67,57,0,7.72,PL,1612669971
Iqaluit,63.7506,-68.5145,-4.0,68,90,2.57,CA,1612669931
Cherskiy,68.75,161.3,-20.1,81,0,1.32,RU,1612669972
Tuatapere,-46.1333,167.6833,21.83,51,8,2.68,NZ,1612669973
Fortuna,40.5982,-124.1573,8.33,93,90,4.25,US,1612669973
Varhaug,58.6147,5.6457,-9.44,92,0,0.51,NO,1612669974
Constantine,36.365,6.6147,15.0,58,75,4.63,DZ,1612669955
Burnie,-41.0667,145.9167,22.78,85,3,2.24,AU,1612669975
Tasiilaq,65.6145,-37.6368,1.0,51,50,9.77,GL,1612669976
Palau,7.503,134.621,29.0,79,75,5.66,PW,1612669976
Front Royal,38.9182,-78.1944,1.67,64,1,0.98,US,1612669778
Cam Ranh,11.9214,109.1591,24.0,73,40,4.63,VN,1612669978
Humberto de Campos,-2.5983,-43.4611,24.89,87,9,2.39,BR,1612669979
Sur,22.5667,59.5289,19.79,56,0,2.89,OM,1612669979
Vila Velha,-20.3297,-40.2925,23.33,88,90,3.09,BR,1612669980
Pangnirtung,66.1451,-65.7125,-4.87,80,93,1.5,CA,1612669981
Nagayo,32.8242,129.8861,14.0,67,20,2.57,JP,1612669981
San Patricio,28.017,-97.5169,17.0,59,1,3.09,US,1612669982
Port Elizabeth,-33.918,25.5701,20.0,77,0,5.66,ZA,1612669982
Tiksi,71.6872,128.8694,-31.89,85,100,2.71,RU,1612669983
Sulechów,52.0836,15.6251,-6.11,45,100,8.32,PL,1612669984
Salalah,17.0151,54.0924,23.0,68,75,1.54,OM,1612669984
Hualmay,-11.0964,-77.6139,21.69,75,100,2.96,PE,1612669789
La Ronge,55.1001,-105.2842,-33.0,68,23,2.57,CA,1612669645
Bowen,-20.0167,148.2333,32.0,58,40,4.12,AU,1612669747
Camocim,-2.9022,-40.8411,25.1,86,0,4.34,BR,1612669987
Coquimbo,-29.9533,-71.3436,15.0,82,0,2.06,CL,1612669988
Keti Bandar,24.1447,67.4497,21.99,22,0,3.21,PK,1612669988
Lobva,59.1854,60.5185,-23.84,89,100,3.79,RU,1612669990
Constitución,-35.3333,-72.4167,13.72,88,26,1.39,CL,1612669990
Nkhata Bay,-11.6066,34.2907,22.52,83,100,1.29,MW,1612669991
Ambilobe,-13.2,49.05,24.45,89,68,1.04,MG,1612669581
Lac du Bonnet,50.2536,-96.0612,-30.56,100,81,3.13,CA,1612669992
Port Shepstone,-30.7414,30.455,23.27,85,100,3.01,ZA,1612669993
Ponta do Sol,32.6667,-17.1,12.78,64,25,1.34,PT,1612669993
Ribeira Grande,38.5167,-28.7,16.25,90,97,8.95,PT,1612669985
Pio XII,-3.8325,-45.1525,22.74,96,63,1.16,BR,1612669994
Diamantino,-14.4086,-56.4461,23.32,80,97,1.3,BR,1612669995
Măneciu-Ungureni,45.3167,25.9833,-0.56,85,94,1.45,RO,1612669996
Timmins,48.4669,-81.3331,-21.0,92,40,1.03,CA,1612669898
Tessalit,20.1986,1.0114,18.79,25,100,2.25,ML,1612669997
Kodinsk,58.6881,99.1844,-5.67,96,100,3.33,RU,1612669998
Melilla,35.2937,-2.9383,12.0,62,0,2.06,ES,1612669999
Mount Isa,-20.7333,139.5,27.0,89,90,4.12,AU,1612669999
Porto-Novo,6.4965,2.6036,29.0,84,40,5.66,BJ,1612670000
Karratha,-20.7377,116.8463,29.24,50,3,5.4,AU,1612669512
Mahébourg,-20.4081,57.7,25.0,94,40,1.54,MU,1612670001
Husavik,66.0449,-17.3389,0.0,74,90,2.57,IS,1612670002
Calama,-22.4667,-68.9333,15.0,51,0,3.6,CL,1612670002
Sterling,39.0062,-77.4286,5.0,48,90,1.54,US,1612669750
Mayumba,-3.432,10.6554,25.92,83,99,0.94,GA,1612669734
Williams Lake,52.1415,-122.1445,-10.0,79,90,4.12,CA,1612669800
Bayir,37.2687,28.2167,5.0,100,40,1.55,TR,1612670005
Palm Coast,29.585,-81.2078,18.89,100,90,1.99,US,1612670005
Lewistown,40.5992,-77.5714,-2.22,63,1,1.16,US,1612670006
Waddān,29.1614,16.139,16.68,29,99,4.04,LY,1612669740
West Bay,19.3667,-81.4167,27.0,78,40,5.14,KY,1612670007
Alugan,12.2188,125.4808,27.33,85,40,6.28,PH,1612670008
Deputatsky,69.3,139.9,-34.43,84,55,0.56,RU,1612669822
Grindavik,63.8424,-22.4338,1.0,60,0,6.69,IS,1612670009
Dharmadam,11.7833,75.4333,27.88,41,2,2.48,IN,1612670010
Arona,28.0996,-16.681,15.56,67,20,3.6,ES,1612670011
San Rafael del Sur,11.8485,-86.4384,26.0,73,20,2.06,NI,1612670011
Selfoss,63.9331,-20.9971,2.0,44,0,7.2,IS,1612670012
Little Current,45.9793,-81.9248,-8.0,73,97,4.12,CA,1612670012
Solnechnyy,50.7214,136.6319,-15.96,87,100,3.45,RU,1612670013
Najrān,17.4924,44.1277,14.0,54,0,2.06,SA,1612670014
Hong Kong,22.2855,114.1577,25.0,38,0,6.69,HK,1612669847
Port Blair,11.6667,92.75,29.0,74,40,4.63,IN,1612670015
Nicoya,10.1483,-85.452,27.0,65,0,4.63,CR,1612670015
Gorom-Gorom,14.4439,-0.2361,24.07,19,100,4.26,BF,1612670016
Zeya,53.75,127.2667,-17.87,81,0,1.48,RU,1612670016
Dolores,-36.3132,-57.6792,15.4,95,0,3.12,AR,1612670018
Ilulissat,69.2167,-51.1,-2.0,40,0,10.29,GL,1612670018
Bintulu,3.1667,113.0333,29.0,84,40,1.03,MY,1612669833
Los Negros,-17.7333,-63.4333,24.0,88,0,2.06,BO,1612670019
Auburn,47.3073,-122.2284,8.0,76,90,7.72,US,1612670020
Caohai,26.8661,104.2841,11.33,62,19,1.86,CN,1612670021
Port Hardy,50.6996,-127.4199,5.0,87,90,3.6,CA,1612670021
Russell,32.3502,-85.1999,6.0,87,90,2.57,US,1612670022
Santa Isabel Rio Negro,-0.4139,-65.0192,23.71,91,72,0.48,BR,1612670022
Wao,7.6833,124.6833,25.14,72,99,2.64,PH,1612670023
Olafsvik,64.8945,-23.7142,1.06,83,0,7.16,IS,1612669673
Evensk,61.95,159.2333,-7.75,83,100,14.27,RU,1612670024
Sliema,35.9125,14.5019,17.22,82,0,5.66,MT,1612670025
Vieste,41.8825,16.175,9.0,93,20,4.12,IT,1612670025
Sioux Lookout,50.1001,-91.917,-27.0,63,90,5.66,CA,1612670026
Araguaína,-7.1911,-48.2072,23.48,93,96,1.65,BR,1612670026
Sobolevo,54.4299,31.8996,-20.94,91,56,3.34,RU,1612670027
Moree,-29.4667,149.85,31.0,33,40,7.2,AU,1612670028
Gao,16.6362,1.637,21.87,19,100,4.96,ML,1612669825
Panguna,-6.3164,155.4848,25.95,83,94,1.05,PG,1612670029
Cuamba,-14.8031,36.5372,21.09,96,100,0.22,MZ,1612669935
Guane,22.2025,-84.0875,24.42,90,1,4.69,CU,1612670030
Fort Nelson,58.8053,-122.7002,-32.0,68,1,1.03,CA,1612670031
Meulaboh,4.1363,96.1285,30.48,62,50,0.89,ID,1612670031
Honningsvåg,70.9821,25.9704,-2.33,94,100,11.32,NO,1612669674
Geraldton,-28.7667,114.6,24.0,69,90,9.77,AU,1612670033
Ilhabela,-23.7781,-45.3581,21.88,79,5,0.71,BR,1612670034
Sitka,57.0531,-135.33,0.0,55,20,2.06,US,1612670034
Faanui,-16.4833,-151.75,28.17,67,1,3.91,PF,1612670035
Thinadhoo,0.5333,72.9333,27.67,74,16,6.32,MV,1612670035
Lerwick,60.1545,-1.1494,1.0,64,90,8.23,GB,1612669817
Kamenka,51.3223,42.7678,-15.56,81,98,5.32,RU,1612669698
Kapan,39.2075,46.4058,5.91,56,0,2.65,AM,1612670037
Chaozhou,23.6651,116.6379,20.0,68,20,2.0,CN,1612670038
Alekseyevsk,57.8406,108.3492,-10.69,93,100,4.78,RU,1612669714
Madang,-5.2246,145.7966,29.74,70,83,3.18,PG,1612670039
Saint-Augustin,51.226,-58.6502,-1.85,96,99,10.51,CA,1612669647
Hambantota,6.1241,81.1185,26.0,94,0,3.6,LK,1612669482
Sainte-Marie,-20.8968,55.5496,27.0,78,20,4.12,RE,1612670041
Biak,-0.9131,122.8766,29.0,63,100,0.45,ID,1612669808
Bushehr,28.9684,50.8385,17.0,82,75,8.23,IR,1612670042
Itaituba,-4.2761,-55.9836,27.0,89,75,0.47,BR,1612670043
Chokurdakh,70.6333,147.9167,-31.58,85,60,2.43,RU,1612669916
Thai Binh,20.45,106.3333,22.0,73,75,1.54,VN,1612669844
Ningxiang,37.34,111.2052,2.73,64,21,3.23,CN,1612670045
Paamiut,61.994,-49.6678,-1.49,85,93,0.94,GL,1612669738
Putina,-15.4667,-69.4333,7.38,76,21,3.25,PE,1612669757
Tomatlán,19.9333,-105.25,19.15,92,1,1.04,MX,1612669988
Mīzan Teferī,6.9833,35.5833,17.01,36,29,1.57,ET,1612670048
Charagua,-19.8,-63.2167,22.25,55,96,0.23,BO,1612670048
Naze,28.3667,129.4833,20.0,56,40,4.63,JP,1612669779
Rundu,-17.9333,19.7667,19.53,93,60,1.47,NA,1612670050
Wadi Maliz,36.4681,8.5495,18.0,48,40,1.54,TN,1612670050
Kahului,20.8947,-156.47,24.0,57,20,3.6,US,1612670051
Kamaishi,39.2667,141.8833,3.0,93,75,3.09,JP,1612669754
Semey,50.4111,80.2275,0.0,86,90,11.0,KZ,1612670052
Praia,14.9215,-23.5087,20.0,64,75,6.69,CV,1612670053
Nipawin,53.3668,-104.0009,-30.0,69,1,3.6,CA,1612670054
Dospat,41.65,24.1667,3.58,70,74,0.36,BG,1612670054
Necochea,-38.5473,-58.7368,14.44,85,49,4.4,AR,1612669893
Cap Malheureux,-19.9842,57.6142,27.78,80,1,1.79,MU,1612670047
Wanning,18.8003,110.3967,23.96,66,14,3.36,CN,1612669511
Puerto Gaitán,4.3133,-72.0816,27.89,60,72,2.65,CO,1612670057
Yerofey Pavlovich,53.9667,121.9667,-17.84,84,100,0.98,RU,1612670058
Kasiri,8.9412,-13.1148,24.13,73,36,1.56,SL,1612670058
Portland,45.5234,-122.6762,8.33,87,75,3.09,US,1612669454
Kruisfontein,-34.0033,24.7314,19.44,79,1,1.34,ZA,1612669916
Esperance,-33.8667,121.9,16.0,94,90,5.66,AU,1612670060
Cherdyn',60.403,56.4787,-20.8,91,100,3.8,RU,1612670061
Pasni,25.2631,63.471,19.25,40,0,2.81,PK,1612670061
Haines Junction,60.7522,-137.5108,-29.0,76,64,0.51,CA,1612670051
Aksarka,66.5606,67.7975,-35.73,83,100,10.34,RU,1612669988
Iwanai,42.9744,140.5089,-2.93,91,99,5.85,JP,1612670063
Te Anau,-45.4167,167.7167,23.98,36,1,2.93,NZ,1612670003
Nampula,-15.1165,39.2666,23.0,94,75,1.54,MZ,1612670064
Broome,42.2506,-75.833,-5.0,36,1,2.06,US,1612669962
Hervey Bay,-25.2986,152.8535,32.0,48,18,6.69,AU,1612669886
